features,depth,MAE,MSE,MAPE
p_{acc},1,9650.174387200368,134552927.61913398,0.30378507672252336
p_{acc},2,9208.383356674036,125394007.27916606,0.2873146003391681
p_{acc},3,8533.091973117054,111332825.87060116,0.2640869624099073
p_{acc},4,7882.682592641428,99818164.18470891,0.24187159241285935
p_{acc},5,7175.940279384867,86491803.1175603,0.21625394726364347
p_{acc},7,5953.299661262659,66753695.045459874,0.1756432371126341
p_{acc},9,4538.052485532262,45410835.56129605,0.12969798392440587
p_{acc},11,3343.326187946088,28931500.945963528,0.090864486202912
p_{acc},15,1778.8318169433417,12650930.097727522,0.04506470696047819
p_{acc},20,956.6191467247746,7599768.023586201,0.024387970775792488
p_{acc},25,815.8044286308082,6920238.656999446,0.020596902983905097
p_{acc},30,815.2133407126291,7218250.555125097,0.020907109787021934
p_{acc},40,819.1849304237824,7198035.005613536,0.02100774591033915
"p_{acc}, T, n_{valves}",1,9469.09697368957,129420542.4004065,0.29538639970714714
"p_{acc}, T, n_{valves}",2,9056.858073609712,120630517.41581102,0.28142144874127617
"p_{acc}, T, n_{valves}",3,8733.813510042077,114305297.4359202,0.26905178482057024
"p_{acc}, T, n_{valves}",4,8377.781677669538,108766688.55813268,0.2582229942223549
"p_{acc}, T, n_{valves}",5,8037.986722809588,103641251.94290912,0.24701227148479135
"p_{acc}, T, n_{valves}",7,7022.4622716492195,87283865.67533801,0.2133538984391729
"p_{acc}, T, n_{valves}",9,5701.319732188035,64967076.980009615,0.16741659413143214
"p_{acc}, T, n_{valves}",11,4428.919350362022,46625966.954497054,0.1263860496054161
"p_{acc}, T, n_{valves}",15,2386.9798843500303,19500974.88403824,0.06158603625753967
"p_{acc}, T, n_{valves}",20,1164.7624634075573,8482797.271043345,0.028804700388040696
"p_{acc}, T, n_{valves}",25,827.8279382267373,6713445.146645271,0.020691908442518905
"p_{acc}, T, n_{valves}",30,806.3915377824001,6635482.983346005,0.02007858487218915
"p_{acc}, T, n_{valves}",40,815.2906388361796,6879307.929000633,0.020259737380810584
p',1,7124.972145586476,74340503.26054949,0.19824268205379403
p',2,5397.556642026472,46663648.46725231,0.14296207298727437
p',3,3820.1157973034183,26094944.29499152,0.09775426920745359
p',4,2915.681295166387,16965532.289793108,0.07442188137920784
p',5,2196.904400068374,10474867.10085144,0.05580959361914418
p',7,1547.7804418639143,5697854.9844029285,0.038815752486308544
p',9,1027.9072978022662,2887159.2226127996,0.025798626969161555
p',11,752.253897044766,1814058.6093319985,0.018971446940518954
p',15,460.24564836803273,1109059.6330753288,0.011722168857970372
p',20,335.6935906709749,976517.7113046938,0.008614780856856765
p',25,318.97411171356543,1045786.579198313,0.008194579687093854
p',30,314.23653466763045,1032737.2378951132,0.008077728587683483
p',40,315.3055028462998,1009127.3451929159,0.008105329385538484
"p', p_0",1,7124.972145586476,74340503.26054949,0.19824268205379403
"p', p_0",2,5397.556642026472,46663648.46725231,0.14296207298727437
"p', p_0",3,3820.1157973034183,26094944.29499152,0.09775426920745359
"p', p_0",4,2915.681295166387,16965532.289793108,0.07442188137920784
"p', p_0",5,2196.904400068374,10474867.10085144,0.05580959361914418
"p', p_0",7,1534.4520714659116,5647899.161293944,0.03865994051768892
"p', p_0",9,1007.4060450865462,2887125.1698161843,0.025394640777197695
"p', p_0",11,733.8715625330608,1907003.5541977705,0.018627574008518524
"p', p_0",15,456.6952145898202,1215491.6397141009,0.011664972993889295
"p', p_0",20,335.66534507848155,1153477.198769191,0.008631229444314385
"p', p_0",25,313.004062040038,1078159.2009734449,0.008074048895682947
"p', p_0",30,310.77510466552206,1086339.4747419578,0.008018655714325619
"p', p_0",40,312.6555977229601,1090594.98513599,0.008030884394908207
"p', T, n_{valves}",1,7124.972145586476,74340503.26054949,0.19824268205379403
"p', T, n_{valves}",2,5397.556642026472,46663648.46725231,0.14296207298727437
"p', T, n_{valves}",3,3820.1157973034183,26094944.29499152,0.09775426920745359
"p', T, n_{valves}",4,2915.681295166387,16965532.289793108,0.07442188137920784
"p', T, n_{valves}",5,2196.904400068374,10474867.10085144,0.05580959361914418
"p', T, n_{valves}",7,1529.1704224154107,5616719.914381812,0.038440742090592415
"p', T, n_{valves}",9,999.7923739796839,2720584.1751978197,0.02516630693538044
"p', T, n_{valves}",11,708.0831770504365,1674084.5595366193,0.017928147064288937
"p', T, n_{valves}",15,428.78585111965094,1047662.8647168784,0.010933615712394405
"p', T, n_{valves}",20,311.31263588016253,959976.4608034889,0.008007014246239872
"p', T, n_{valves}",25,299.7320772757621,969520.9449467813,0.007695116760915463
"p', T, n_{valves}",30,293.61173703352307,859113.1263292616,0.007552555323923248
"p', T, n_{valves}",40,294.3883617963314,867751.7416192284,0.007569929560568683
